,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
95,10748,Derby Jockey 2,SNES,1995.0,Sports,Asmik Corp,0.0,0.0,0.1,0.0,0.1
96,6805,Namco Tennis Smash Court,PS,1995.0,Sports,Sony Computer Entertainment,0.0,0.0,0.23,0.02,0.24
97,6570,J-League Pro Soccer Club wo Tsukurou!,SAT,1996.0,Sports,Sega,0.0,0.0,0.26,0.0,0.26
98,4981,Triple Play 97,PS,1996.0,Sports,Electronic Arts Victor,0.21,0.15,0.0,0.03,0.38
99,4318,Jikkyou Powerful Pro Yakyuu 3,SNES,1996.0,Sports,Konami Digital Entertainment,0.0,0.0,0.45,0.0,0.45
100,14877,Pitball,PS,1996.0,Sports,Time Warner Interactive,0.01,0.01,0.0,0.0,0.03
101,4264,NHL FaceOff '97,PS,1996.0,Sports,Sony Computer Entertainment,0.26,0.17,0.0,0.03,0.46
102,3821,Wayne Gretzky's 3D Hockey,N64,1996.0,Sports,Nintendo,0.49,0.03,0.0,0.0,0.53
103,10585,Olympic Summer Games: Atlanta 1996,PS,1996.0,Sports,U.S. Gold,0.06,0.04,0.0,0.01,0.1
104,5553,NBA Live 96,PS,1996.0,Sports,Electronic Arts,0.16,0.11,0.04,0.02,0.33
105,1976,Derby Stallion 96,SNES,1996.0,Sports,ASCII Entertainment,0.0,0.0,1.04,0.01,1.05
106,4216,NHL 97,PS,1996.0,Sports,Electronic Arts,0.26,0.18,0.0,0.03,0.47
107,4004,Super Famista 5,SNES,1996.0,Sports,Namco Bandai Games,0.0,0.0,0.5,0.0,0.5
108,12846,Olympic Soccer: Atlanta 1996,PS,1996.0,Sports,U.S. Gold,0.03,0.02,0.0,0.0,0.05
109,9961,Tecmo Super Bowl,PS,1996.0,Sports,Tecmo Koei,0.06,0.04,0.0,0.01,0.12
110,3887,International Track & Field,PS,1996.0,Sports,Konami Digital Entertainment,0.08,0.05,0.35,0.03,0.51
111,5997,J-League Victory Goal '96,SAT,1996.0,Sports,Sega,0.0,0.0,0.29,0.0,0.29
112,9965,NHL Powerplay '96,PS,1996.0,Sports,Virgin Interactive,0.06,0.04,0.0,0.01,0.12
113,7786,J-League Excite Stage '96,SNES,1996.0,Sports,Epoch,0.0,0.0,0.19,0.0,0.19
114,10283,Winter Heat,SAT,1996.0,Sports,Sega,0.0,0.0,0.11,0.0,0.11
115,9311,NHL Breakaway 98,PS,1996.0,Sports,Acclaim Entertainment,0.08,0.05,0.0,0.01,0.14
116,12182,The Final Round,PS,1996.0,Sports,Konami Digital Entertainment,0.04,0.03,0.0,0.0,0.07
117,9888,HardBall 5,PS,1996.0,Sports,SPS,0.07,0.04,0.0,0.01,0.12
118,16229,Victory Spike,PS,1996.0,Sports,Imagineer,0.0,0.0,0.01,0.0,0.01
119,14219,3D Baseball,PS,1996.0,Sports,BMG Interactive Entertainment,0.02,0.01,0.0,0.0,0.03
120,6053,MLB Pennant Race,PS,1996.0,Sports,Sony Computer Entertainment,0.16,0.11,0.0,0.02,0.29
121,6098,PGA Tour 97,PS,1996.0,Sports,Electronic Arts,0.16,0.11,0.0,0.02,0.29
122,2391,NFL GameDay '97,PS,1996.0,Sports,Sony Computer Entertainment,0.48,0.33,0.0,0.06,0.87
123,7190,NFL Quarterback Club 97,PS,1996.0,Sports,Acclaim Entertainment,0.12,0.08,0.0,0.01,0.22
124,13282,VR Soccer '96,PS,1996.0,Sports,Gremlin Interactive Ltd,0.03,0.02,0.0,0.0,0.05
125,4542,Cool Boarders,PS,1996.0,Sports,Sony Computer Entertainment,0.1,0.07,0.24,0.03,0.43
126,7792,Jikkyou J-League Perfect Striker,N64,1996.0,Sports,Konami Digital Entertainment,0.0,0.0,0.19,0.0,0.19
127,6788,Gallop Racer (JP),PS,1996.0,Sports,Tecmo Koei,0.04,0.03,0.16,0.02,0.24
128,9187,Frank Thomas Big Hurt Baseball,PS,1996.0,Sports,Acclaim Entertainment,0.08,0.05,0.0,0.01,0.14
129,12502,NBA Hangtime,PS,1996.0,Sports,Midway Games,0.03,0.02,0.0,0.0,0.06
130,4433,World Stadium EX,PS,1996.0,Sports,Namco Bandai Games,0.0,0.0,0.41,0.03,0.44
131,11771,NHL Open Ice,PS,1996.0,Sports,Midway Games,0.04,0.03,0.0,0.0,0.07
132,9192,Bottom of the 9th,PS,1996.0,Sports,Konami Digital Entertainment,0.08,0.05,0.0,0.01,0.14
133,8662,FIFA Soccer 97,PS,1996.0,Sports,Electronic Arts,0.09,0.06,0.0,0.01,0.16
134,7227,Chou-Kuukan Night Pro Yakyuu King(higher JP sales),N64,1996.0,Sports,Imagineer,0.0,0.0,0.22,0.0,0.22
135,10340,Goal Storm '97,PS,1996.0,Sports,Konami Digital Entertainment,0.01,0.0,0.09,0.01,0.11
136,7237,NBA Jam Extreme,PS,1996.0,Sports,Acclaim Entertainment,0.12,0.08,0.0,0.01,0.22
137,1497,Madden NFL 97,PS,1996.0,Sports,Electronic Arts,0.73,0.5,0.0,0.09,1.32
138,8390,VR Golf '97,PS,1996.0,Sports,Gremlin Interactive Ltd,0.09,0.06,0.0,0.01,0.17
139,7626,Snowboard Kids,N64,1996.0,Sports,Atlus,0.16,0.04,0.0,0.0,0.2
140,1591,Reel Fishing,PS,1996.0,Sports,Natsume,0.99,0.13,0.1,0.04,1.25
141,13911,Adidas Power Soccer,PS,1996.0,Sports,Psygnosis,0.02,0.01,0.0,0.0,0.04
142,7825,Jikkyou Powerful Pro Yakyuu '96 Kaimakuban,SNES,1996.0,Sports,Konami Digital Entertainment,0.0,0.0,0.19,0.0,0.19
143,2258,Space Jam,PS,1996.0,Sports,Acclaim Entertainment,0.51,0.35,0.0,0.06,0.92
144,1384,2Xtreme,PS,1996.0,Sports,Sony Computer Entertainment,1.15,0.2,0.0,0.05,1.4
145,6464,NCAA Gamebreaker,PS,1996.0,Sports,Sony Computer Entertainment,0.15,0.1,0.0,0.02,0.26
146,7865,Chou-Kuukan Night Pro Yakyuu King (weekly JP sales),N64,1996.0,Sports,Imagineer,0.0,0.0,0.19,0.0,0.19
147,13243,J-League '96 Dream Stadium,SNES,1996.0,Sports,Hudson Soft,0.0,0.0,0.05,0.0,0.05
148,2073,NBA Live 97,PS,1996.0,Sports,Electronic Arts,0.55,0.38,0.0,0.07,1.0
149,6441,Gallop Racer 2: One and Only Road to Victory,PS,1997.0,Sports,Tecmo Koei,0.0,0.0,0.25,0.02,0.27
150,1250,NBA Live 98,PS,1997.0,Sports,Electronic Arts,1.41,0.06,0.0,0.04,1.51
151,3467,FIFA: Road to  World Cup 98,N64,1997.0,Sports,Electronic Arts,0.15,0.39,0.0,0.03,0.58
152,3901,Virtual Pool,PS,1997.0,Sports,Interplay,0.28,0.19,0.0,0.03,0.51
153,9422,Nagano Winter Olympics '98,PS,1997.0,Sports,Konami Digital Entertainment,0.07,0.05,0.0,0.01,0.13
154,1439,Madden NFL 98,PS,1997.0,Sports,Electronic Arts,1.29,0.03,0.0,0.03,1.35
155,6344,NBA In The Zone '98,N64,1997.0,Sports,Konami Digital Entertainment,0.25,0.02,0.0,0.0,0.27
156,7769,J-League Jikkyou Winning Eleven 3,PS,1997.0,Sports,Konami Digital Entertainment,0.0,0.0,0.18,0.01,0.19
157,1228,Tiger Woods 99 PGA Tour Golf,PS,1997.0,Sports,Electronic Arts,0.85,0.58,0.0,0.1,1.53
158,3391,Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,PS,1997.0,Sports,Konami Digital Entertainment,0.0,0.0,0.56,0.04,0.59
159,1854,Triple Play 98,PS,1997.0,Sports,Electronic Arts,0.61,0.42,0.0,0.07,1.1
160,3948,NHL FaceOff 98,PS,1997.0,Sports,Sony Computer Entertainment,0.28,0.19,0.0,0.03,0.51
161,1644,NBA Live 99,PS,1997.0,Sports,Electronic Arts,1.13,0.05,0.0,0.03,1.22
162,3535,NBA Hangtime,N64,1997.0,Sports,GT Interactive,0.48,0.08,0.0,0.0,0.57
163,4047,FIFA Soccer 64,N64,1997.0,Sports,Electronic Arts,0.16,0.3,0.0,0.03,0.49
164,5755,Jikkyou Powerful Pro Yakyuu 4,N64,1997.0,Sports,Konami Digital Entertainment,0.0,0.0,0.26,0.05,0.31
165,717,Cool Boarders 2,PS,1997.0,Sports,UEP Systems,1.52,0.46,0.2,0.08,2.25
166,4563,NHL FaceOff 99,PS,1997.0,Sports,989 Studios,0.24,0.16,0.0,0.03,0.43
167,2918,NCAA Football 98,PS,1997.0,Sports,Electronic Arts,0.39,0.27,0.0,0.05,0.7
168,2251,NHL 98,PS,1997.0,Sports,Electronic Arts,0.51,0.35,0.0,0.06,0.92
169,528,Hot Shots Golf,PS,1997.0,Sports,Sony Computer Entertainment,0.29,0.2,2.13,0.18,2.79
170,9012,Fox Sports Golf '99,PS,1997.0,Sports,Gremlin Interactive Ltd,0.08,0.05,0.0,0.01,0.14
171,5632,Nagano Winter Olympics 98,N64,1997.0,Sports,Konami Digital Entertainment,0.15,0.04,0.13,0.0,0.32
172,5614,ESPN X-Games Pro Boarder,PS,1997.0,Sports,Sony Computer Entertainment,0.18,0.12,0.0,0.02,0.32
173,8451,Itoi Shigesato no Bass Tsuri No. 1,SNES,1997.0,Sports,Nintendo,0.0,0.0,0.17,0.0,0.17
174,2796,FIFA: Road to World Cup 98,PS,1997.0,Sports,Electronic Arts,0.14,0.09,0.46,0.05,0.73
175,7328,Pro Yakyuu Greatest Nine '97,SAT,1997.0,Sports,Sega,0.0,0.0,0.21,0.0,0.21
176,13445,Wayne Gretzky's 3D Hockey '98,PS,1997.0,Sports,GT Interactive,0.03,0.02,0.0,0.0,0.05
177,8554,Jikkyou Powerful Pro Yakyuu 3 '97 Haru,SNES,1997.0,Sports,Konami Digital Entertainment,0.0,0.0,0.16,0.0,0.16
178,8582,Power Stakes,PS,1997.0,Sports,Aques,0.0,0.0,0.15,0.01,0.16
179,2421,Madden Football 64,N64,1997.0,Sports,Electronic Arts,0.81,0.04,0.0,0.01,0.86
180,5203,Big Bass World Championship,PS,1997.0,Sports,Starfish,0.2,0.14,0.0,0.02,0.36
181,6693,Wayne Gretzky's 3D Hockey '98,N64,1997.0,Sports,Midway Games,0.23,0.02,0.0,0.0,0.25
182,793,Derby Stallion,PS,1997.0,Sports,ASCII Entertainment,0.0,0.0,1.96,0.14,2.09
183,9168,NCAA Basketball Final Four 97,PS,1997.0,Sports,Mindscape,0.08,0.05,0.0,0.01,0.14
184,15210,Ballblazer Champions,PS,1997.0,Sports,CTO SpA,0.01,0.01,0.0,0.0,0.02
185,10639,International Superstar Soccer 64 (weekly JP sales),N64,1997.0,Sports,Konami Digital Entertainment,0.0,0.0,0.05,0.05,0.1
186,12845,NHL Powerplay 98,PS,1997.0,Sports,Virgin Interactive,0.03,0.02,0.0,0.0,0.05
187,15077,Bottom of the 9th '97,PS,1997.0,Sports,Konami Digital Entertainment,0.01,0.01,0.0,0.0,0.02
188,1956,NFL Quarterback Club 98,N64,1997.0,Sports,Acclaim Entertainment,1.01,0.05,0.0,0.01,1.06
189,3246,NBA ShootOut '97,PS,1997.0,Sports,Sony Computer Entertainment,0.35,0.24,0.0,0.04,0.62
190,1930,NHL 99,PS,1997.0,Sports,Electronic Arts,0.59,0.4,0.0,0.07,1.07
191,1076,NFL GameDay 98,PS,1997.0,Sports,Sony Computer Entertainment,1.58,0.06,0.0,0.04,1.68
192,9658,Actua Tennis,PS,1997.0,Sports,Gremlin Interactive Ltd,0.07,0.05,0.0,0.01,0.13
193,3363,International Superstar Soccer 64,N64,1997.0,Sports,Konami Digital Entertainment,0.09,0.26,0.23,0.02,0.6
194,4052,J-League Pro Soccer Club wo Tsukurou! 2,SAT,1997.0,Sports,Sega,0.0,0.0,0.49,0.0,0.49
195,2559,World Soccer Jikkyou Winning Eleven 3: World Cup France '98,PS,1998.0,Sports,Konami Digital Entertainment,0.0,0.0,0.75,0.05,0.81
196,1913,Ready 2 Rumble Boxing,PS,1998.0,Sports,Midway Games,0.6,0.41,0.0,0.07,1.08
197,1939,NCAA Football 99,PS,1998.0,Sports,Electronic Arts,0.59,0.4,0.0,0.07,1.06
198,2396,NHL 2000,PS,1998.0,Sports,Electronic Arts,0.48,0.33,0.0,0.06,0.87
199,2313,Madden NFL 99,N64,1998.0,Sports,Electronic Arts,0.84,0.05,0.0,0.01,0.9
200,2620,Major League Baseball Featuring Ken Griffey Jr,N64,1998.0,Sports,Nintendo,0.75,0.03,0.0,0.01,0.79
201,2657,NBA ShootOut 98,PS,1998.0,Sports,Sony Computer Entertainment,0.43,0.29,0.0,0.05,0.78
202,7243,NHL Championship 2000,PS,1998.0,Sports,Fox Interactive,0.12,0.08,0.0,0.01,0.22
203,2698,ISS Pro Evolution,PS,1998.0,Sports,Konami Digital Entertainment,0.0,0.0,0.71,0.05,0.76
204,2422,MLB 99,PS,1998.0,Sports,Sony Computer Entertainment,0.48,0.32,0.0,0.06,0.86
205,13712,NBA In The Zone '99,N64,1998.0,Sports,Konami Digital Entertainment,0.04,0.0,0.0,0.0,0.04
206,6611,Combination Pro Soccer: J-League no Kantoku ni Natte Sekai wo Mezase!!,PS,1998.0,Sports,Axela,0.0,0.0,0.24,0.02,0.25
207,3468,World Cup 98,N64,1998.0,Sports,Electronic Arts,0.14,0.4,0.0,0.04,0.58
208,3469,International Superstar Soccer '98,N64,1998.0,Sports,Konami Digital Entertainment,0.06,0.3,0.19,0.03,0.58
209,12879,Bottom of the 9th '99,PS,1998.0,Sports,Konami Digital Entertainment,0.03,0.02,0.0,0.0,0.05
210,7620,Twisted Edge Extreme Snowboarding,N64,1998.0,Sports,Kemco,0.16,0.04,0.0,0.0,0.2
211,3095,Animaniacs Ten Pin Alley,PS,1998.0,Sports,ASC Games,0.36,0.25,0.0,0.04,0.66
212,3060,Tiger Woods PGA Tour 2000,PS,1998.0,Sports,Electronic Arts,0.37,0.25,0.0,0.04,0.66
213,9668,Nippon Daihyou Team no Kantoku ni Narou! Sekaihatsu Soccer RPG,SAT,1998.0,Sports,Sega,0.0,0.0,0.12,0.0,0.12
214,1733,Cool Boarders 4,PS,1998.0,Sports,989 Studios,0.65,0.44,0.0,0.08,1.17
215,6706,Pro Yakyuu Team o Tsukurou!,SAT,1998.0,Sports,Sega,0.0,0.0,0.25,0.0,0.25
216,3015,Street Sk8er,PS,1998.0,Sports,Electronic Arts,0.37,0.25,0.0,0.04,0.67
217,1893,NFL Blitz 2000,PS,1998.0,Sports,Midway Games,0.6,0.41,0.0,0.07,1.09
218,2960,NFL Xtreme,PS,1998.0,Sports,Sony Computer Entertainment,0.38,0.26,0.0,0.05,0.69
219,3401,Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,PS,1998.0,Sports,Konami Digital Entertainment,0.0,0.0,0.55,0.04,0.59
220,3282,NFL Quarterback Club 99,N64,1998.0,Sports,Acclaim Entertainment,0.59,0.02,0.0,0.0,0.62
221,1696,Kobe Bryant in NBA Courtside,N64,1998.0,Sports,Nintendo,1.02,0.13,0.04,0.01,1.19
222,14497,Big Mountain 2000,N64,1998.0,Sports,Imagineer,0.02,0.01,0.0,0.0,0.03
223,1955,NFL Blitz,N64,1998.0,Sports,Midway Games,1.02,0.04,0.0,0.01,1.06
224,3393,CyberTiger,PS,1998.0,Sports,Electronic Arts,0.33,0.22,0.0,0.04,0.59
225,6688,Fox Sports College Hoops '99,N64,1998.0,Sports,Fox Interactive,0.2,0.05,0.0,0.0,0.25
226,13697,Breeding Stud 2,PS,1998.0,Sports,Konami Digital Entertainment,0.0,0.0,0.04,0.0,0.04
227,1579,Brian Lara Cricket,PS,1998.0,Sports,Codemasters,0.02,1.13,0.01,0.1,1.26
228,1224,NFL GameDay 99,PS,1998.0,Sports,989 Studios,1.44,0.05,0.0,0.04,1.53
229,4116,All-Star Baseball 99,N64,1998.0,Sports,Acclaim Entertainment,0.44,0.04,0.0,0.0,0.48
230,8153,Brunswick Circuit Pro Bowling,PS,1998.0,Sports,THQ,0.1,0.07,0.0,0.01,0.18
231,4151,NBA Live 99,N64,1998.0,Sports,Electronic Arts,0.45,0.02,0.0,0.0,0.47
232,1023,Madden NFL 99,PS,1998.0,Sports,Electronic Arts,1.66,0.04,0.0,0.04,1.74
233,1005,Madden NFL 2000,PS,1998.0,Sports,Electronic Arts,1.68,0.04,0.0,0.04,1.75
234,10915,Pro Yakyuu Greatest Nine 98,SAT,1998.0,Sports,Sega,0.0,0.0,0.09,0.0,0.09
235,11381,Derby Stallion 98,SNES,1998.0,Sports,ASCII Entertainment,0.0,0.0,0.08,0.0,0.08
236,10636,Virtual Pool 64,N64,1998.0,Sports,Crave Entertainment,0.08,0.02,0.0,0.0,0.1
237,922,FIFA 2000,PS,1998.0,Sports,Electronic Arts,0.22,1.47,0.04,0.14,1.87
238,4340,NCAA Gamebreaker 99,PS,1998.0,Sports,989 Studios,0.25,0.17,0.0,0.03,0.45
239,4342,World Stadium 2,PS,1998.0,Sports,Namco Bandai Games,0.0,0.0,0.42,0.03,0.45
